title,link,description
Parametrized Quantum Circuits of Synonymous Sentences in Quantum Natural Language Processing. (arXiv:2102.02204v1 [quant-ph]),http://arxiv.org/abs/2102.02204,"<p>In this paper, we develop a compositional vector-based semantics of positive
transitive sentences in quantum natural language processing for a non-English
language, i.e. Persian, to compare the parametrized quantum circuits of two
synonymous sentences in two languages, English and Persian. By considering
grammar+meaning of a transitive sentence, we translate DisCoCat diagram via
ZX-calculus into quantum circuit form. Also, we use a bigraph method to rewrite
DisCoCat diagram and turn into quantum circuit in the semantic side.
</p>
"
Harvest -- An Open Source Toolkit for Extracting Posts and Post Metadata from Web Forums. (arXiv:2102.02240v1 [cs.IR]),http://arxiv.org/abs/2102.02240,"<p>Automatic extraction of forum posts and metadata is a crucial but challenging
task since forums do not expose their content in a standardized structure.
Content extraction methods, therefore, often need customizations such as
adaptations to page templates and improvements of their extraction code before
they can be deployed to new forums. Most of the current solutions are also
built for the more general case of content extraction from web pages and lack
key features important for understanding forum content such as the
identification of author metadata and information on the thread structure.
</p>
<p>This paper, therefore, presents a method that determines the XPath of forum
posts, eliminating incorrect mergers and splits of the extracted posts that
were common in systems from the previous generation. Based on the individual
posts further metadata such as authors, forum URL and structure are extracted.
We also introduce Harvest, a new open source toolkit that implements the
presented methods and create a gold standard extracted from 52 different Web
forums for evaluating our approach. A comprehensive evaluation reveals that
Harvest clearly outperforms competing systems.
</p>
"
Information-theoretic Key Encapsulation and its Application to Secure Communication. (arXiv:2102.02243v1 [cs.CR]),http://arxiv.org/abs/2102.02243,"<p>A hybrid encryption scheme is a public key encryption system that consists of
a public-key part called the key encapsulation mechanism (KEM), and a
(symmetric) secret-key part called data encapsulation mechanism (DEM): the
public-key part is used to generate a shared secret key between the two
parties, and the symmetric key part is used to encrypt the message. Hybrid
encryption schemes are widely used for secure communication over the Internet.
In this paper, we initiate the study of hybrid encryption in preprocessing
model which assumes access to initial correlated variables by all the parties
(including the eavesdropper). We define information theoretic KEM (iKEM) that
together with a (computationally) secure DEM results in a hybrid encryption
scheme in preprocessing model. We define security of each building block and
prove a composition theorem that guarantees security of the final encryption
system. We showthat iKEM can be realized by a one-message SKA (OW-SKA)protocol
with an extended security definition. Using a OW-SKA that satisfies this
extended definition of security effectively allows the secret key that is
generated by the OW-SKA to be used with symmetric key encryption system such as
AES in counter mode. We discuss our results and future work including providing
stronger security for the final encryption, and using information theoretic DEM
to construct information theoretic encryption systems.
</p>
"
Bounds and Genericity of Sum-Rank-Metric Codes. (arXiv:2102.02244v1 [cs.IT]),http://arxiv.org/abs/2102.02244,"<p>We derive simplified sphere-packing and Gilbert-Varshamov bounds for codes in
the sum-rank metric, which can be computed more efficently than previous
ones.They give rise to asymptotic bounds that cover the asymptotic setting that
has not yet been considered in the literature: families of sum-rank-metric
codes whose block size grows in the code length. We also provide two genericity
results: we show that random linear codes achieve almost the sum-rank-metric
Gilbert-Varshamov bound with high probability. Furthermore, we derive bounds on
the probability that a random linear code attains the sum-rank-metric Singleton
bound, showing that for large enough extension field, almost all linear codes
achieve it.
</p>
"
The Forgotten Document-Oriented Database Management Systems: An Overview and Benchmark of Native XML DODBMSes in Comparison with JSON DODBMSes. (arXiv:2102.02246v1 [cs.DB]),http://arxiv.org/abs/2102.02246,"<p>In the current context of Big Data, a multitude of new NoSQL solutions for
storing, managing, and extracting information and patterns from semi-structured
data have been proposed and implemented. These solutions were developed to
relieve the issue of rigid data structures present in relational databases, by
introducing semi-structured and flexible schema design. As current data
generated by different sources and devices, especially from IoT sensors and
actuators, use either XML or JSON format, depending on the application,
database technologies that store and query semi-structured data in XML format
are needed. Thus, Native XML Databases, which were initially designed to
manipulate XML data using standardized querying languages, i.e., XQuery and
XPath, were rebranded as NoSQL Document-Oriented Databases Systems. Currently,
the majority of these solutions have been replaced with the more modern JSON
based Database Management Systems. However, we believe that XML-based solutions
can still deliver performance in executing complex queries on heterogeneous
collections. Unfortunately nowadays, research lacks a clear comparison of the
scalability and performance for database technologies that store and query
documents in XML versus the more modern JSON format. Moreover, to the best of
our knowledge, there are no Big Data-compliant benchmarks for such database
technologies. In this paper, we present a comparison for selected
Document-Oriented Database Systems that either use the XML format to encode
documents, i.e., BaseX, eXist-db, and Sedna, or the JSON format, i.e., MongoDB,
CouchDB, and Couchbase. To underline the performance differences we also
propose a benchmark that uses a heterogeneous complex schema on a large DBLP
corpus.
</p>
"
Low-cost attacks on Ethereum 2.0 by sub-1/3 stakeholders. (arXiv:2102.02247v1 [cs.CR]),http://arxiv.org/abs/2102.02247,"<p>We outline two dishonest strategies that can be cheaply executed on the
Ethereum 2.0 beacon chain, even by validators holding less than one-third of
the total stake: malicious chain reorganizations (""reorgs"") and finality
delays. In a malicious reorg, an attacker withholds their blocks and
attestations before releasing them at an opportune time in order to force a
chain reorganization, which they can take advantage of by double-spending or
front-running transactions. To execute a finality delay an attacker uses
delayed block releases and withholding of attestations to increase the mean and
variance of the time it takes blocks to become finalized. This impacts the
efficiency and predictability of the system. We provide a probabilistic and
cost analysis for each of these attacks, considering a validator with 30% of
the total stake.
</p>
"
Optimal Excitation Matching Strategy for Sub-Arrayed Phased Linear Arrays Generating Arbitrary-Shaped Beams. (arXiv:2102.02258v1 [eess.SY]),http://arxiv.org/abs/2102.02258,"<p>The design of phased arrays able to generate arbitrary-shaped beams through a
sub-arrayed architecture is addressed here. The synthesis problem is cast in
the excitation matching framework, so as to yield clustered phased arrays
providing optimal trade-offs between the complexity of the array architecture
(i.e., the minimum number of control points at the sub-array level) and the
matching of a reference pattern. A synthesis tool based on the k-means
algorithm is proposed for jointly optimizing the sub-array configuration and
the complex sub-array coefficients. Selected numerical results, including
pencil beams with sidelobe notches and asymmetric lobes as well as shaped main
lobes, are reported and discussed to highlight the peculiarities of the
proposed approach also in comparison with some extensions to complex
excitations of state-of-the-art sub-array design methods.
</p>
"
Modular Design of Hexagonal Phased Arrays Through Diamond Tiles. (arXiv:2102.02262v1 [eess.SY]),http://arxiv.org/abs/2102.02262,"<p>The modular design of planar phased array antennas with hexagonal apertures
is addressed by means of innovative diamond-shaped tiling techniques. Both
tiling configuration and subarray coefficients are optimized to fit
user-defined power-mask constraints on the radiation pattern. Toward this end,
suitable surface-tiling mathematical theorems are customized to the problem at
hand to guarantee optimal performance in case of low/medium-size arrays, while
the computationally hard tiling of large arrays is yielded thanks to an
effective integer-coded GA-based exploration of the arising high-cardinality
solution spaces. By considering ideal as well as real array models, a set of
representative benchmark problems is dealt with to assess the effectiveness of
the proposed architectures and tiling strategies. Moreover, comparisons with
alternative tiling architectures are also performed to show to the interested
readers the advantages and the potentialities of the diamond subarraying of
hexagonal apertures.
</p>
"
DEFT: Detection Embeddings for Tracking. (arXiv:2102.02267v1 [cs.CV]),http://arxiv.org/abs/2102.02267,"<p>Most modern multiple object tracking (MOT) systems follow the
tracking-by-detection paradigm, consisting of a detector followed by a method
for associating detections into tracks. There is a long history in tracking of
combining motion and appearance features to provide robustness to occlusions
and other challenges, but typically this comes with the trade-off of a more
complex and slower implementation. Recent successes on popular 2D tracking
benchmarks indicate that top-scores can be achieved using a state-of-the-art
detector and relatively simple associations relying on single-frame spatial
offsets -- notably outperforming contemporary methods that leverage learned
appearance features to help re-identify lost tracks. In this paper, we propose
an efficient joint detection and tracking model named DEFT, or ""Detection
Embeddings for Tracking."" Our approach relies on an appearance-based object
matching network jointly-learned with an underlying object detection network.
An LSTM is also added to capture motion constraints. DEFT has comparable
accuracy and speed to the top methods on 2D online tracking leaderboards while
having significant advantages in robustness when applied to more challenging
tracking data. DEFT raises the bar on the nuScenes monocular 3D tracking
challenge, more than doubling the performance of the previous top method. Code
is publicly available.
</p>
"
A Heuristic for Dynamic Output Predictive Control Design for Uncertain Nonlinear Systems. (arXiv:2102.02268v1 [eess.SY]),http://arxiv.org/abs/2102.02268,"<p>In this paper, a simple heuristic is proposed for the design of uncertainty
aware predictive controllers for nonlinear models involving uncertain
parameters. The method relies on Machine Learning-based approximation of ideal
deterministic MPC solutions with perfectly known parameters. An efficient
construction of the learning data set from these off-line solutions is proposed
in which each solution provides many samples in the learning data. This enables
a drastic reduction of the required number of Non Linear Programming problems
to be solved off-line while explicitly exploiting the statistics of the
parameters dispersion. The learning data is then used to design a fast on-line
output dynamic feedback that explicitly incorporate information of the
statistics of the parameters dispersion. An example is provided to illustrate
the efficiency and the relevance of the proposed framework. It is in particular
shown that the proposed solution recovers up to 78\% of the expected advantage
of having a perfect knowledge of the parameters compared to nominal design.
</p>
"
